FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
26768,2021,NOVIEMBRE,2021-11-23,MARTES,19:09:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,MIGUEL ALEMAN,AVENIDA,ROMULO G Y LAS TORRES,"25.723968,-100.222783"
24011,2021,AGOSTO,2021-08-02,LUNES,08:45:00,LATERAL,AMP,RUTINA,COLONIA,ARBOLEDAS DE SAN JORGE,AVENIDA,SAN NICOLAS Y SAN CLEMENTE,"25.734522,-100.290511"
26168,2021,NOVIEMBRE,2021-11-23,MARTES,19:26:00,ALCANCE/PROYECCION,FINIQUITADO,RUTINA,COLONIA,CABECERA MUNICIPAL,CALLE,ARTURO B E ITURBIDE,"25.752323,-100.285065"
23712,2021,AGOSTO,2021-08-02,LUNES,10:53:00,ALCANCE Y PROYECCION,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VELAZQUEZ Y FRAY LUIS DE LEON,"25.730775,-100.309218"
26906,2021,NOVIEMBRE,2021-11-23,MARTES,19:51:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CHAPULTEPEC,AVENIDA,CENTRAL Y TEXCOCO,"25.740988,-100.301026"
23807,2021,AGOSTO,2021-08-02,LUNES,14:40:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CABECERA MUNICIPAL,AVENIDA,UNIVERSIDAD Y JUAN PABLO II,"25.74965,-100.29912"
27030,2021,NOVIEMBRE,2021-11-23,MARTES,19:53:00,LATERAL,FINIQUITADO,C4,COLONIA,CUAUHTEMOC,AVENIDA,UNIVERSIDAD Y NOGALAR,"25.728658,-100.301883"
23563,2021,AGOSTO,2021-08-02,LUNES,14:43:00,ALCANCE,FINIQUITADO,C4,COLONIA,VALLE DE ANAHUAC,AVENIDA,MANUEL L BARRAGAN Y TLALPAN,"25.73454,-100.315192"
26471,2021,NOVIEMBRE,2021-11-24,MIÉRCOLES,06:52:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,BALCONES DE ANAHUAC,AVENIDA,MANUEL L. BARRAGAN Y SENDERO,"25.765412,-100.305585"
23857,2021,AGOSTO,2021-08-02,LUNES,15:10:00,ALCANCE Y PROYECCION,FINIQUITADO,RUTINA,FRACCIONAMIENTO,DEL LAGO,AVENIDA,ROMULO GARZA Y LAGO RODEO,"25.724637,-100.217807"
